Zipcode,Population Total,Bachelor population,Master population,Professional school degree population,Doctorate degree population
ZCTA5 02215,8512,2824,1943,1027,892
ZCTA5 02301,38665,4714,1753,213,116
ZCTA5 02302,22507,2863,864,138,178
ZCTA5 02322,3328,590,154,65,53
ZCTA5 02324,16580,3706,1388,191,186
ZCTA5 02330,8247,1290,357,83,0
ZCTA5 02332,10302,4069,1875,556,226
ZCTA5 02333,9977,1700,682,107,36
ZCTA5 02338,5323,791,399,49,95
ZCTA5 02339,9354,3168,1043,386,50
ZCTA5 02341,6993,1501,584,82,7
ZCTA5 02343,8323,1595,491,112,48
ZCTA5 02346,16740,3292,1199,316,171
ZCTA5 02347,7709,1608,707,196,80
ZCTA5 02351,11257,2664,757,53,51
ZCTA5 02356,8295,2818,1059,295,181
ZCTA5 02357,32,6,7,0,0
ZCTA5 02359,12319,2701,1155,106,70
ZCTA5 02360,41361,9094,4153,747,521
ZCTA5 02364,8793,2202,975,177,93
ZCTA5 02366,179,6,0,0,0
ZCTA5 02367,2136,408,174,28,45
ZCTA5 02368,23670,4836,1910,255,226
ZCTA5 02370,12590,2143,739,150,61
ZCTA5 02375,6620,1896,747,154,48
ZCTA5 02379,4887,957,459,89,28
ZCTA5 02382,10115,1912,663,73,79
ZCTA5 02420,9991,2486,3049,752,1319
ZCTA5 02421,12516,3345,3731,1001,1766
ZCTA5 02445,13966,3509,3469,1779,2003
ZCTA5 02446,20786,6408,5538,2782,2540
ZCTA5 02451,14020,3909,2267,289,432
ZCTA5 02452,9182,2421,1701,262,325
ZCTA5 02453,19934,5404,2994,467,553
ZCTA5 02457,15,0,0,0,0
ZCTA5 02458,8956,2784,1904,897,794
ZCTA5 02459,12389,3649,3220,1833,1803
ZCTA5 02460,6610,1596,1810,666,709
ZCTA5 02461,5135,1544,1551,637,576
ZCTA5 02462,1109,294,309,113,140
ZCTA5 02464,2330,743,488,202,77
ZCTA5 02465,8316,2016,2284,782,745
ZCTA5 02466,5079,1489,1334,461,428
ZCTA5 02467,11419,3165,2645,1647,1446
ZCTA5 02468,3930,1030,1084,684,517
ZCTA5 02472,25532,7887,4936,1003,1395
ZCTA5 02474,20310,6365,5164,603,1463
ZCTA5 02476,12522,3674,2914,692,1313
ZCTA5 02478,17684,5150,4708,1194,1918
ZCTA5 02481,8990,3022,2747,1012,877
ZCTA5 02482,6922,2310,2006,704,605
ZCTA5 02492,13282,4352,3548,1361,869
ZCTA5 02493,7426,2301,1987,1117,755
ZCTA5 02494,6722,2106,1910,572,263
ZCTA5 02532,8691,1668,987,182,122
ZCTA5 02534,732,90,88,30,0
ZCTA5 02535,1164,403,145,35,50
ZCTA5 02536,14432,2963,1422,228,491
ZCTA5 02537,4585,1294,672,197,103
ZCTA5 02538,2150,182,100,0,19
ZCTA5 02539,3323,441,279,93,44
ZCTA5 02540,6830,1624,1004,333,542
ZCTA5 02542,430,75,24,0,0
ZCTA5 02543,578,150,149,70,89
ZCTA5 02553,189,80,0,0,0
ZCTA5 02554,7435,1966,977,242,88
ZCTA5 02556,2254,552,347,112,148
ZCTA5 02557,3262,802,500,79,60
ZCTA5 02558,977,65,22,0,0
ZCTA5 02559,3382,727,437,73,35
ZCTA5 02561,358,117,10,0,29
ZCTA5 02562,2393,194,352,28,11
ZCTA5 02563,7095,1839,953,150,104
ZCTA5 02564,173,31,16,0,0
ZCTA5 02568,3026,917,167,68,61
ZCTA5 02571,7822,1167,476,141,42
ZCTA5 02575,1926,624,245,69,20
ZCTA5 02576,3263,369,142,43,12
ZCTA5 02584,9,0,9,0,0
ZCTA5 02601,10315,1293,648,129,65
ZCTA5 02630,1630,456,263,123,58
ZCTA5 02631,7654,2339,969,322,231
ZCTA5 02632,7800,2043,725,180,120
ZCTA5 02633,3109,913,546,91,16
ZCTA5 02635,2590,765,419,90,92
ZCTA5 02637,90,0,28,15,0
ZCTA5 02638,2833,731,467,57,30
ZCTA5 02639,2083,419,276,11,17
ZCTA5 02641,247,69,49,8,18
ZCTA5 02642,3949,1028,626,74,76
ZCTA5 02643,9,0,0,0,0
ZCTA5 02644,2744,544,241,43,0
ZCTA5 02645,6978,1701,781,194,98
ZCTA5 02646,1695,405,435,93,22
ZCTA5 02647,113,27,24,28,0
ZCTA5 02648,4838,1241,599,142,49
ZCTA5 02649,10435,2384,1156,178,62
ZCTA5 02650,1054,347,140,21,64
ZCTA5 02651,27,27,0,0,0
ZCTA5 02652,739,168,145,42,22
ZCTA5 02653,5001,1420,808,169,119
ZCTA5 02655,2978,869,405,144,96
ZCTA5 02657,2655,728,409,108,87
ZCTA5 02659,661,201,87,9,11
ZCTA5 02660,5207,1159,481,70,67
ZCTA5 02663,113,0,43,0,0
ZCTA5 02664,7502,1406,748,103,65
ZCTA5 02666,678,234,63,25,18
ZCTA5 02667,2387,629,453,123,48
ZCTA5 02668,2383,598,388,59,34
ZCTA5 02669,204,28,30,0,5
ZCTA5 02670,1123,294,145,22,0
ZCTA5 02671,738,198,135,19,6
